state,zip5,lat_lon,population,adi_median
CO,80003,"(39.8254134, -105.0644346)",35384,28.0
MA,01564,"(42.4479239, -71.7760449)",7808,17.0
IL,60643,"(41.7002727, -87.6632674)",49952,55.0
DE,19947,"(38.6702663, -75.4046629)",18799,41.0
NY,11757,"(40.6890093, -73.3733496)",45700,22.0
OR,97230,"(45.557757, -122.5052675)",39752,33.0
IL,61704,"(40.4700516, -88.9415199)",35981,47.0
CA,95209,"(38.046863, -121.3528022)",39488,30.0
IL,60586,"(41.5781905, -88.234492)",46251,35.0
MA,01247,"(42.6956988, -73.0938521)",16087,79.0
NH,03103,"(42.9561164, -71.4423853)",36476,45.0
CA,94030,"(37.5997105, -122.4033001)",21536,1.0
CA,90230,"(33.9978617, -118.3936166)",31766,13.0
CA,95612,"(38.3847062, -121.5787214)",1239,8.0
NY,14513,"(43.0759075, -77.100601)",13976,74.0
NY,12790,"(41.5634288, -74.527401)",4518,56.0
CO,80227,"(39.6654578, -105.1021964)",33667,26.0
CA,95966,"(39.4753693, -121.4141332)",30643,58.0
MA,01610,"(42.247049, -71.8083657)",23945,59.0
CA,90002,"(33.9489868, -118.2467796)",51223,34.0
CA,91340,"(34.2866697, -118.4348171)",34188,22.0
CO,80537,"(40.3830798, -105.2004165)",38821,35.0
CA,92544,"(33.645934, -116.8816279)",44734,42.0
CA,92021,"(32.8357316, -116.8746171)",65068,21.0
OR,97365,"(44.671297, -124.0305694)",10744,43.0
NY,14086,"(42.9055106, -78.6291212)",31847,53.0
NY,14220,"(42.8457384, -78.8220761)",24227,90.0
IL,61265,"(41.4806974, -90.4871672)",45099,74.0
NM,88061,"(32.6285435, -108.4064122)",18585,69.0
WA,98074,"(47.6225441, -122.0442105)",25748,4.0
CA,92543,"(33.6986544, -116.9791698)",33555,70.0
CA,95128,"(37.3158842, -121.9364309)",34836,4.0
CA,90813,"(33.7822587, -118.1967927)",58911,25.0
CA,95062,"(36.9739691, -121.9898464)",36079,6.0
MD,21113,"(39.0626855, -76.7124172)",30469,29.0
NY,14067,"(43.2121602, -78.5562745)",5040,63.0
CA,95120,"(37.1857459, -121.8427384)",37457,1.0
NY,14228,"(43.0443711, -78.7773351)",20857,54.0
RI,02813,"(41.3942155, -71.6698224)",7831,30.0
IL,60120,"(42.032566, -88.240438)",50955,55.0
MA,01464,"(42.5736544, -71.6409862)",7211,19.0
CA,92506,"(33.9347609, -117.3668824)",44001,20.0
CA,91911,"(32.6073516, -117.0503597)",82999,21.0
OR,97402,"(44.0477364, -123.2309049)",50342,50.0
CA,92336,"(34.1368646, -117.4603344)",88419,18.0
CA,91320,"(34.1733772, -118.9479768)",44274,6.0
CA,94024,"(37.3503883, -122.0986856)",22385,1.0
MN,55033,"(44.7110071, -92.858662)",29488,48.0
NY,11365,"(40.7396342, -73.7944896)",42252,12.0
CA,91730,"(34.1004019, -117.5812819)",66925,21.0
NH,03106,"(43.0812421, -71.4466159)",13374,40.0
CA,95336,"(37.8302673, -121.2010196)",42675,28.0
NY,13903,"(42.0418695, -75.8890773)",18763,84.0
MD,21742,"(39.6782193, -77.6527202)",31444,49.0
MD,20783,"(38.9970672, -76.9667831)",44487,32.0
NJ,08108,"(39.9150477, -75.0622435)",18045,29.0
CA,95333,"(37.2446736, -120.2427411)",2942,65.0
WA,98024,"(47.5734245, -121.8991824)",5650,15.0
NJ,07045,"(40.906942, -74.3656082)",10127,7.0
NY,11375,"(40.722975, -73.8431785)",68733,22.0
MA,02176,"(42.455723, -71.0590194)",26983,11.0
NY,10467,"(40.8752619, -73.8720268)",97060,26.0
WA,98201,"(47.9944644, -122.1861622)",29582,36.0
MA,01475,"(42.6681596, -72.0556441)",10270,41.0
NY,13790,"(42.1653606, -76.001942)",19104,85.0
MD,20735,"(38.7509174, -76.902669)",35421,27.0
NY,10002,"(40.7159693, -73.9868946)",81410,9.0
IL,62301,"(39.9311552, -91.388714)",33758,78.0
NJ,07869,"(40.8416396, -74.5785221)",25291,8.0
NH,03062,"(42.7223228, -71.5011759)",26694,31.0
CA,96013,"(40.9736566, -121.6923992)",4212,57.0
CA,91356,"(34.154999, -118.547559)",29458,8.0
OR,97035,"(45.4136015, -122.7252518)",23912,12.0
NY,11730,"(40.7276035, -73.1849501)",14712,22.0
CA,95673,"(38.6905184, -121.4656624)",15455,32.0
CA,94558,"(38.3891354, -122.188412)",66830,10.0
NJ,07102,"(40.7356592, -74.173605)",12579,41.0
MA,01830,"(42.7963128, -71.0534357)",25137,29.0
NY,11220,"(40.641026, -74.0166882)",99598,4.0
MA,01085,"(42.1535029, -72.771602)",41117,40.0
NY,11211,"(40.7140845, -73.9451676)",90117,4.0
CO,80030,"(39.8308215, -105.0374698)",15329,36.0
IL,60649,"(41.7593404, -87.5570254)",46650,69.0
MA,01236,"(42.2744989, -73.3861549)",1509,28.0
CA,91764,"(34.0740868, -117.6056183)",54086,27.0
NY,11740,"(40.8653467, -73.361205)",9454,5.0
NY,11225,"(40.6631194, -73.9538673)",56829,5.0
KS,66801,"(38.4117433, -96.2235072)",28492,89.0
NJ,08701,"(40.0770685, -74.1985101)",92843,21.0
OR,97302,"(44.9031762, -123.0644324)",37131,39.0
CA,93308,"(35.5474931, -118.9468676)",52447,48.0
NM,88401,"(35.0745833, -103.7802751)",6944,94.0
CA,92231,"(32.6876359, -115.5643737)",39073,57.0
NY,11722,"(40.7835797, -73.1966177)",35177,29.0
CA,95341,"(37.231045, -120.5010724)",32967,58.0
NJ,08816,"(40.4291187, -74.4162867)",46298,16.0
CA,94566,"(37.6487308, -121.8480239)",40884,2.0
WA,98155,"(47.754413, -122.3004769)",32778,13.0
MN,55416,"(44.9493731, -93.3409944)",29027,25.0
CA,93727,"(36.7516118, -119.6953972)",71820,47.0
DC,20006,"(38.8984817, -77.0412047)",3227,8.0
NY,11550,"(40.7014749, -73.6211076)",56435,28.0
CA,94080,"(37.6551745, -122.4183842)",63975,5.0
KS,66605,"(39.0108277, -95.6388191)",19919,88.0
NY,12401,"(41.9875407, -74.0102727)",35040,53.0
CA,91007,"(34.1282838, -118.0477319)",34095,3.0
NV,89031,"(36.2584569, -115.1707428)",60589,43.0
NM,87120,"(35.1405385, -106.7609693)",58023,47.0
IL,62206,"(38.5679302, -90.1693305)",16509,95.0
ME,04210,"(44.0845366, -70.2496493)",23045,62.0
KS,67216,"(37.6112406, -97.312617)",24041,93.0
IL,60653,"(41.8199645, -87.6059654)",29908,42.0
CA,94555,"(37.5475942, -122.0982196)",34143,3.0
CA,90063,"(34.0452484, -118.1857803)",55758,25.0
NY,10305,"(40.5965488, -74.0757794)",41749,17.0
MD,21601,"(38.7924673, -76.0878813)",23597,30.0
NY,10023,"(40.7745673, -73.9790155)",60998,1.0
IL,60417,"(41.4275852, -87.5861488)",15547,46.0
MD,20905,"(39.1098657, -76.9880769)",18044,11.0
CA,90744,"(33.7772144, -118.2596038)",53815,24.0
OR,97031,"(45.6109473, -121.6013744)",18375,24.0
MD,20708,"(39.0425507, -76.8264852)",25546,24.0
OR,97209,"(45.5311244, -122.6839507)",14950,15.0
CA,93065,"(34.2623877, -118.7722194)",72508,12.0
CA,90401,"(34.0160989, -118.4924539)",6722,1.0
NY,11542,"(40.8726052, -73.6286217)",27633,21.0
NY,10033,"(40.8474756, -73.9355098)",53926,16.0
MD,20740,"(39.0027434, -76.9308045)",28780,28.0
NH,03852,"(43.495003, -70.986034)",558,47.0
MN,55443,"(45.1194511, -93.3389687)",32462,27.0
CA,92583,"(33.7969113, -116.9313714)",30236,50.0
NY,12946,"(44.2065675, -74.0460512)",5492,24.0
NJ,08009,"(39.7606563, -74.9328602)",12854,32.0
NM,87144,"(35.330173, -106.7100877)",37719,47.0
NH,03257,"(43.4177205, -71.9906093)",4455,21.0
CA,92236,"(33.7027611, -116.0724522)",41083,71.0
NY,11701,"(40.6824513, -73.4143821)",27109,26.0
CO,80021,"(39.8906634, -105.1137237)",30051,19.0
WA,99403,"(46.3755419, -117.2903004)",19548,69.0
NJ,08731,"(39.8598863, -74.2927406)",20009,33.0
NJ,08021,"(39.8061555, -75.0000121)",44833,70.0
OR,97123,"(45.4443725, -122.9764259)",44537,31.0
CA,93630,"(36.7165742, -120.1269547)",19162,55.0
NY,11374,"(40.726457, -73.8614588)",43600,29.0
VT,05149,"(43.401856, -72.6992109)",2092,62.0
KS,67502,"(38.1267143, -97.9298051)",23739,63.0
MA,01960,"(42.53431, -70.9694427)",50944,25.0
IL,62615,"(39.585684, -89.7540679)",5748,62.0
OR,97058,"(45.5524893, -121.151799)",19838,47.0
MN,55418,"(45.0213178, -93.242853)",29472,41.0
NJ,08854,"(40.539658, -74.462791)",55961,24.0
NY,11763,"(40.8252748, -72.982436)",28506,19.0
WA,99336,"(46.2140523, -119.1757304)",48753,62.0
CA,91932,"(32.5653537, -117.1145672)",25718,15.0
WA,98373,"(47.1484793, -122.3241362)",22246,31.0
IL,60656,"(41.9742575, -87.8270517)",27613,35.0
NJ,08244,"(39.3155106, -74.5982783)",10849,49.0
CA,95603,"(38.911346, -121.0857601)",27844,23.0
MN,55123,"(44.8023895, -93.1391264)",26030,18.0
KS,66109,"(39.1653507, -94.8293414)",20480,49.0
CO,80218,"(39.7311678, -104.9707153)",17928,19.0
MD,20854,"(39.032772, -77.2208298)",49611,2.0
CA,95694,"(38.5718817, -122.0648647)",9156,16.0
NV,89142,"(36.148113, -115.0310013)",33731,58.0
CT,06053,"(41.6901449, -72.79194)",34863,59.0
CA,90660,"(33.9895238, -118.0892952)",62928,19.0
CO,80525,"(40.5273576, -105.0414381)",48419,22.0
MN,55964,"(44.1602474, -92.1580812)",4389,50.0
IL,60614,"(41.9227466, -87.6471531)",66617,7.0
NY,14150,"(42.9980842, -78.8782559)",41676,67.0
CA,92704,"(33.7211311, -117.9051096)",88123,17.0
KS,66106,"(39.0694535, -94.7026128)",23367,83.0
IL,60631,"(41.9947695, -87.8131043)",28641,24.0
VT,05001,"(43.6837261, -72.3760017)",9123,53.0
WA,98026,"(47.8375688, -122.3338948)",35921,16.0
IL,60014,"(42.2302786, -88.3296544)",48550,40.0
KS,66223,"(38.8615968, -94.6687678)",21759,22.0
NJ,07302,"(40.7188084, -74.0446341)",36352,5.0
NV,89433,"(39.5975621, -119.7781366)",20188,64.0
MD,21921,"(39.6271448, -75.8598906)",44471,39.0
CA,92019,"(32.778844, -116.8714148)",42598,12.0
CA,94579,"(37.6865005, -122.1572145)",20571,10.0
CA,92084,"(33.2272765, -117.2000968)",47654,13.0
NY,11385,"(40.7006472, -73.8894227)",98592,10.0
CA,93250,"(35.669076, -119.2019692)",13522,63.0
MN,55301,"(45.2443635, -93.6611679)",10535,31.0
NJ,08031,"(39.866356, -75.0946695)",11584,53.0
NY,11731,"(40.8626139, -73.3170401)",30184,12.0
WA,99163,"(46.730384, -117.2183951)",31404,39.0
MD,21157,"(39.548569, -76.9835578)",36920,29.0
MA,02745,"(41.7026957, -70.9470573)",24576,40.0
IL,61732,"(40.5296384, -89.2080634)",2096,59.0
CO,80016,"(39.5930263, -104.7224004)",41219,11.0
NY,10034,"(40.8670761, -73.924312)",38908,4.0
CA,92118,"(32.6987955, -117.2091097)",23575,1.0
MA,01702,"(42.282379, -71.4366226)",37206,27.0
CA,93117,"(34.4794531, -120.0840941)",53217,7.0
CA,91362,"(34.1924314, -118.8194861)",36045,6.0
CA,95035,"(37.4403973, -121.874693)",66943,4.0
NY,10469,"(40.8685088, -73.8466911)",66631,21.0
NM,87026,"(34.9811485, -107.207734)",4063,82.0
NY,14559,"(43.1899799, -77.8190517)",18057,55.0
MN,55403,"(44.9699231, -93.2842531)",14985,44.0
NM,87413,"(36.460675, -107.9644755)",16792,68.0
KS,66603,"(39.0575318, -95.6747469)",2001,100.0
WA,98105,"(47.6598613, -122.2849767)",43924,7.0
IL,60448,"(41.5377803, -87.8925639)",24423,22.0
NY,12520,"(41.4280171, -73.9961948)",3109,23.0
NV,89101,"(36.1727881, -115.1223241)",46055,76.0
CA,95210,"(38.0317856, -121.2978857)",39009,45.0
CO,80303,"(39.9732218, -105.2092762)",22361,11.0
NY,11694,"(40.5753139, -73.8512354)",20408,9.0
MN,55441,"(45.0084251, -93.4307178)",17848,29.0
NY,11355,"(40.7514355, -73.8212271)",85871,23.0
NY,11720,"(40.8702335, -73.0820187)",29189,21.0
CA,95407,"(38.3946561, -122.7459317)",39352,20.0
NY,12309,"(42.7998697, -73.8649646)",29343,25.0
IL,60628,"(41.6914782, -87.6185926)",72202,81.0
NJ,08551,"(40.4471107, -74.837285)",5532,17.0
IL,60655,"(41.6947708, -87.7037606)",28550,32.0
NV,89141,"(35.9881471, -115.2074228)",25150,26.0
NV,89107,"(36.1712406, -115.209288)",36282,62.0
CT,06482,"(41.4090005, -73.2426304)",11557,12.0
NY,13045,"(42.5845123, -76.190686)",30112,49.0
NY,11378,"(40.7247442, -73.9096392)",34981,8.0
WA,98233,"(48.5009114, -122.3456548)",14871,41.0
MA,01007,"(42.2839351, -72.4004088)",14649,37.0
NY,10029,"(40.7922493, -73.9473326)",76003,7.0
CA,95334,"(37.3496766, -120.7512837)",15457,50.0
NY,11423,"(40.7156688, -73.7682985)",29987,11.0
CO,80017,"(39.6994375, -104.7752963)",34270,41.0
CA,91324,"(34.2382078, -118.5502898)",27669,11.0
ME,04021,"(43.7917961, -70.2647622)",5820,21.0
NV,89815,"(40.5647295, -115.5965457)",13346,32.0
NY,11743,"(40.8834117, -73.4235629)",42230,11.0
IL,60046,"(42.415962, -88.0653509)",35111,42.0
IL,60115,"(41.9012633, -88.7615501)",46272,66.0
DC,20037,"(38.8924593, -77.0538112)",14642,7.0
NY,10956,"(41.154435, -73.9940723)",31521,10.0
CA,92801,"(33.8449834, -117.952151)",62068,15.0
CA,92410,"(34.1115753, -117.2636914)",49410,64.0
CA,93307,"(35.2451202, -118.9410999)",82658,65.0
CA,92395,"(34.5048281, -117.298985)",42400,62.0
IL,60056,"(42.0653782, -87.9347101)",55219,30.0
CA,95070,"(37.2549286, -122.0521809)",30617,1.0
KS,67217,"(37.6177726, -97.362058)",30186,84.0
WA,98226,"(48.7967043, -122.432388)",41235,29.0
CA,94588,"(37.7926484, -121.8628073)",30842,3.0
MD,21640,"(39.0681413, -75.8209483)",1632,61.0
NY,11432,"(40.7149339, -73.7929549)",60809,15.0
NY,13365,"(43.098217, -74.8483789)",8906,77.0
MA,02332,"(42.0444072, -70.7060604)",15059,6.0
IL,60491,"(41.6026976, -87.9626049)",22743,23.0
CA,91711,"(34.128066, -117.7147728)",35705,9.0
NY,10576,"(41.2215765, -73.5723324)",5116,3.0
CO,80231,"(39.6712254, -104.8878611)",32127,30.0
NY,14226,"(42.9703453, -78.7980046)",29267,85.0
CA,92037,"(32.8546424, -117.2517716)",46781,2.0
NY,11212,"(40.6629047, -73.9130712)",84500,17.0
NJ,08081,"(39.7329417, -74.9766568)",50589,46.0
CA,90048,"(34.0728769, -118.3726569)",21397,1.0
MA,02135,"(42.3496885, -71.1539638)",42780,14.0
CA,94597,"(37.9176973, -122.071818)",20277,6.0
IL,60647,"(41.9210421, -87.7019709)",87291,20.0
CA,90403,"(34.0307553, -118.4921007)",24525,2.0
CA,92130,"(32.9476156, -117.2058249)",48940,3.0
CA,92223,"(33.9378213, -116.9813703)",43605,34.0
DC,20019,"(38.8922458, -76.9417718)",54358,34.0
CA,95118,"(37.2553638, -121.8919118)",31932,3.0
CT,06114,"(41.7408539, -72.6706948)",27449,65.0
NY,11370,"(40.7653925, -73.8942155)",39688,6.0
OR,97214,"(45.5139623, -122.6440311)",23813,13.0
MA,01360,"(42.677091, -72.4538758)",3032,39.0
NY,10027,"(40.812657, -73.9549825)",59707,4.0
NY,12803,"(43.2884438, -73.6317733)",7567,63.0
CA,93610,"(37.0872855, -120.2888671)",23833,59.0
MN,55414,"(44.9783814, -93.2224486)",28495,28.0
MN,55419,"(44.9057987, -93.2876534)",26406,28.0
NY,13827,"(42.1178268, -76.2491663)",11759,70.0
CA,94501,"(37.7747116, -122.2780971)",60212,5.0
NY,14701,"(42.0777688, -79.2590718)",40730,89.0
MA,01013,"(42.1420092, -72.5954964)",23188,60.0
CA,92833,"(33.8805092, -117.9611312)",51767,12.0
CA,93030,"(34.2050972, -119.1753202)",59372,19.0
MA,02341,"(42.0502398, -70.8673595)",10218,25.0
NY,11417,"(40.676406, -73.8445955)",28967,11.0
WA,98368,"(48.0412611, -122.8266637)",14724,26.0
CA,90006,"(34.0480942, -118.2940452)",59185,12.0
CA,91731,"(34.078573, -118.0434556)",29591,18.0
WA,99216,"(47.6863606, -117.2167022)",24362,51.0
MD,20658,"(38.5707101, -77.1583564)",854,40.0
CA,94086,"(37.3716335, -122.0232017)",45697,2.0
CA,94565,"(38.008595, -121.9283149)",84641,29.0
NM,88012,"(32.5888537, -106.7712694)",25961,62.0
CA,91387,"(34.4025187, -118.3634627)",40328,18.0
IL,60053,"(42.0422389, -87.7889284)",23260,26.0
MN,55303,"(45.2884119, -93.431529)",46352,38.0
NY,12061,"(42.5993124, -73.6571753)",9050,33.0
CA,95129,"(37.305958, -122.0007203)",38720,2.0
NM,87114,"(35.1974648, -106.6817572)",61623,41.0
CA,92656,"(33.5752015, -117.7303522)",49046,10.0
CA,93454,"(34.9230125, -120.2594631)",36448,27.0
NY,11004,"(40.7461911, -73.7115068)",14016,30.0
CT,06231,"(41.6329363, -72.3673475)",4083,23.0
NY,13206,"(43.0735246, -76.1058126)",16443,88.0
IL,60062,"(42.1262789, -87.845088)",39936,12.0
ME,04073,"(43.4119359, -70.7373256)",16189,75.0
CA,92374,"(34.0685149, -117.1753218)",40267,28.0
IL,60538,"(41.7275023, -88.3369415)",26619,45.0
NY,11368,"(40.7497368, -73.8530446)",109931,11.0
NM,87301,"(35.5215935, -108.7653186)",23674,67.0
IL,60506,"(41.7588778, -88.3718653)",53013,62.0
NM,87936,"(32.7532341, -107.2602135)",515,92.0
WA,99224,"(47.6476718, -117.5349512)",18289,37.0
CT,06438,"(41.450777, -72.509946)",2550,24.0
CO,80031,"(39.8739362, -105.0387923)",33932,27.0
RI,02910,"(41.7749988, -71.4355935)",21000,49.0
CA,95111,"(37.2838535, -121.8268688)",58466,11.0
NJ,07661,"(40.927354, -74.0396108)",11340,20.0
CA,95005,"(37.0983626, -122.0892953)",6311,7.0
NY,11204,"(40.618815, -73.9849419)",78134,6.0
CA,92701,"(33.7486219, -117.8587143)",53908,21.0
RI,02886,"(41.7016154, -71.4552172)",29269,40.0
CA,93908,"(36.6260321, -121.6020855)",13043,6.0
CA,95307,"(37.5558149, -120.9538577)",42753,44.0
WA,98117,"(47.6877544, -122.3859419)",31365,6.0
NY,10520,"(41.2266008, -73.8676406)",12810,9.0
NV,89149,"(36.2707961, -115.2946235)",31143,25.0
WA,98229,"(48.7059448, -122.3983262)",30321,21.0
DE,19702,"(39.6181998, -75.7297243)",51899,35.0
NY,11226,"(40.6464089, -73.9566626)",101572,12.0
CA,93221,"(36.2963943, -119.0299352)",14945,51.0
WA,98208,"(47.9001978, -122.1870435)",51802,21.0
IL,62246,"(38.8903664, -89.4275766)",10355,67.0
MN,55068,"(44.735478, -93.0627738)",27490,26.0
NJ,08831,"(40.3343407, -74.4325022)",45620,11.0
NY,11222,"(40.7277898, -73.947605)",36934,3.0
NJ,07726,"(40.2865056, -74.3425467)",42508,11.0
KS,67226,"(37.7686949, -97.2203364)",17757,38.0
MD,21227,"(39.2399698, -76.6794498)",33534,42.0
OR,97914,"(44.1115524, -117.0798582)",19205,82.0
MA,01876,"(42.6118926, -71.2272264)",28667,19.0
IL,60185,"(41.8931107, -88.2149981)",36527,36.0
CA,92003,"(33.2852743, -117.1977769)",4746,40.0
OR,97501,"(42.2857292, -122.897456)",42117,60.0
RI,02860,"(41.8705624, -71.3886815)",45199,56.0
WA,99016,"(47.5972644, -117.1210022)",12480,44.0
CA,93010,"(34.2278878, -119.0795529)",42901,10.0
CT,06489,"(41.6141676, -72.8699148)",32067,37.0
IL,61528,"(40.7769005, -89.7182706)",2668,35.0
CA,90022,"(34.0237282, -118.1562745)",67179,22.0
NM,87122,"(35.1885293, -106.4935443)",17977,10.0
NY,10541,"(41.382046, -73.7518184)",26339,24.0
NV,89445,"(41.1210694, -118.0085482)",16114,52.0
NJ,07109,"(40.7934814, -74.1611589)",35897,36.0
CA,92703,"(33.7485203, -117.9061618)",65445,18.0
ME,04605,"(44.6858027, -68.3947977)",12974,62.0
NY,10019,"(40.765735, -73.9850652)",42870,3.0
MA,01545,"(42.2847672, -71.7142277)",35299,19.0
NY,11237,"(40.70416, -73.9211389)",49896,8.0
RI,02816,"(41.6964989, -71.6226621)",32611,47.0
NY,11236,"(40.6394133, -73.9006642)",93877,13.0
RI,02904,"(41.8583341, -71.4362945)",29359,49.0
CA,94951,"(38.3225483, -122.6448942)",4124,6.0
OR,97006,"(45.52598, -122.8558875)",63036,28.0
CA,92660,"(33.6346259, -117.8748825)",34797,2.0
CO,80122,"(39.5803086, -104.9549168)",29783,17.0
NY,11435,"(40.7010799, -73.8096404)",53687,14.0
WA,98133,"(47.7404852, -122.342826)",44555,15.0
MD,20902,"(39.0437553, -77.042369)",48841,18.0
CA,90001,"(33.9736648, -118.2490388)",57110,28.0
IL,60085,"(42.3549353, -87.8607611)",71714,74.0
CT,06512,"(41.2782673, -72.8752509)",29861,48.0
DC,20009,"(38.9191435, -77.0373808)",47992,6.0
MN,55112,"(45.0805144, -93.1920604)",43250,35.0
CA,90062,"(34.0034933, -118.3090927)",32821,14.0
OR,97741,"(44.6580939, -121.0387363)",11912,49.0
CA,96002,"(40.5278343, -122.3187489)",33298,40.0
NY,12065,"(42.852284, -73.785597)",41776,35.0
CT,06360,"(41.5480059, -72.0894538)",37541,64.0
DC,20007,"(38.9177159, -77.0906354)",26866,2.0
IL,60608,"(41.8468804, -87.6706636)",82739,41.0
CA,93445,"(35.0440754, -120.6207066)",7173,21.0
NY,14210,"(42.8626569, -78.8287681)",14694,96.0
CA,92139,"(32.6800314, -117.0488864)",35125,21.0
OR,97322,"(44.6275526, -123.0176132)",34039,48.0
WA,98003,"(47.3052049, -122.3141614)",44151,34.0
WA,98311,"(47.6273627, -122.6424449)",25880,34.0
CA,92064,"(32.9843523, -117.0135373)",47904,9.0
CA,93003,"(34.2836678, -119.2231961)",50474,15.0
NJ,08318,"(39.5576535, -75.1777169)",12702,46.0
MA,02472,"(42.3694508, -71.1779249)",32014,11.0
CA,93710,"(36.8241049, -119.7627096)",30202,44.0
CA,93060,"(34.3720307, -119.0966947)",32811,28.0
NY,10460,"(40.8423439, -73.8790617)",57311,25.0
CA,91605,"(34.2073412, -118.400973)",56343,16.0
MD,21122,"(39.1142829, -76.4873942)",60576,24.0
CA,90807,"(33.8302054, -118.1811814)",31481,11.0
CA,92563,"(33.580016, -117.1473602)",53892,17.0
IL,62454,"(38.9923479, -87.7649783)",11467,86.0
CA,95065,"(37.0322419, -121.9844016)",8113,5.0
NJ,08812,"(40.5987306, -74.4787928)",14296,31.0
MN,56441,"(46.5777632, -93.9814802)",3596,73.0
MD,20721,"(38.9152216, -76.7851292)",27016,15.0
NJ,07206,"(40.6520831, -74.1837562)",26636,44.0
MD,20832,"(39.1503487, -77.0782506)",24965,12.0
NJ,07104,"(40.7677132, -74.1683498)",50478,42.0
MA,01929,"(42.6404513, -70.7711646)",3504,9.0
CA,90201,"(33.9703429, -118.1713681)",101279,23.0
OR,97215,"(45.5150495, -122.597392)",16375,13.0
CA,93635,"(37.020187, -120.8817002)",38776,49.0
MD,21801,"(38.3494167, -75.67847)",29961,51.0
CA,91342,"(34.3265845, -118.3822613)",91725,17.0
MA,02559,"(41.6902429, -70.6162831)",3376,28.0
NY,10463,"(40.8863455, -73.9015473)",67970,27.0
CO,80906,"(38.7525937, -104.8782114)",37719,38.0
CA,91766,"(34.0422858, -117.7561062)",71599,25.0
RI,02863,"(41.8900642, -71.3934808)",19385,72.0
KS,67010,"(37.6554361, -96.9760489)",13890,74.0
CA,93960,"(36.4056248, -121.3230545)",27080,23.0
NY,11207,"(40.6701572, -73.8938353)",93386,13.0
KS,66033,"(38.3587761, -95.1275847)",767,65.0
MD,21502,"(39.6414768, -78.7560881)",44400,77.0
NY,10308,"(40.552828, -74.151525)",27357,14.0
CA,91331,"(34.2552942, -118.4197025)",103689,21.0
NY,10941,"(41.490413, -74.345272)",13779,31.0
CA,91709,"(33.9429693, -117.7256483)",74796,8.0
NJ,07928,"(40.7249712, -74.4150856)",19144,5.0
NY,11746,"(40.8142683, -73.3622764)",67094,11.0
CA,91343,"(34.2388019, -118.4822956)",60254,14.0
OR,97378,"(45.0848829, -123.4228673)",8882,58.0
MN,55126,"(45.0829893, -93.140492)",25140,27.0
NY,11230,"(40.6220886, -73.9651896)",86408,5.0
WA,98038,"(47.419378, -121.958008)",31171,16.0
KS,67548,"(38.5914908, -99.3339969)",1467,83.0
NJ,08611,"(40.183615, -74.7403187)",28038,87.0
CO,81506,"(39.124877, -108.5586618)",10961,28.0
CA,93312,"(35.3918445, -119.1195484)",56741,26.0
CA,94559,"(38.2511254, -122.2960897)",27184,10.0
WA,98685,"(45.715209, -122.693161)",26217,22.0
CO,81625,"(40.7046733, -107.7361567)",12921,51.0
IL,61379,"(41.3802548, -89.6063009)",1359,83.0
CA,92234,"(33.8141312, -116.4655479)",51151,36.0
CA,91913,"(32.6228947, -116.9868919)",40971,12.0
NJ,07644,"(40.8779151, -74.0825)",24136,26.0
CA,91744,"(34.0313002, -117.9367767)",85040,19.0
CA,93277,"(36.301334, -119.3725855)",50607,43.0
